"filename", "language", "Python", "JSON", "Batch", "Markdown", "comment", "blank", "total"
"c:\work\Project3H\Project-One\ProjectOne.cmd", "Batch", 0, 0, 4, 0, 0, 1, 5
"c:\work\Project3H\Project-One\README.md", "Markdown", 0, 0, 0, 85, 0, 43, 128
"c:\work\Project3H\Project-One\acesscontrol.py", "Python", 65, 0, 0, 0, 8, 10, 83
"c:\work\Project3H\Project-One\appdata\scripts\basic_operations.py", "Python", 22, 0, 0, 0, 0, 4, 26
"c:\work\Project3H\Project-One\appdata\scripts\console.py", "Python", 24, 0, 0, 0, 2, 7, 33
"c:\work\Project3H\Project-One\appdata\scripts\function.py", "Python", 32, 0, 0, 0, 0, 4, 36
"c:\work\Project3H\Project-One\appdata\scripts\integral.py", "Python", 24, 0, 0, 0, 0, 3, 27
"c:\work\Project3H\Project-One\appdata\scripts\log.py", "Python", 38, 0, 0, 0, 8, 15, 61
"c:\work\Project3H\Project-One\appdata\scripts\logarithm.py", "Python", 35, 0, 0, 0, 0, 5, 40
"c:\work\Project3H\Project-One\appdata\scripts\manager.py", "Python", 32, 0, 0, 0, 2, 12, 46
"c:\work\Project3H\Project-One\appdata\scripts\squareroot.py", "Python", 16, 0, 0, 0, 0, 3, 19
"c:\work\Project3H\Project-One\appdata\scripts\system.py", "Python", 74, 0, 0, 0, 0, 19, 93
"c:\work\Project3H\Project-One\appdata\scripts\trigonometry.py", "Python", 12, 0, 0, 0, 4, 5, 21
"c:\work\Project3H\Project-One\appdata\system\scientificdata\Constants.json", "JSON", 0, 4, 0, 0, 0, 2, 6
"c:\work\Project3H\Project-One\main.py", "Python", 57, 0, 0, 0, 5, 17, 79
"Total", "-", 431, 4, 4, 85, 29, 150, 703
